ID,Lobby ID,Nom,Abréviation,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Réduction 40%,Efficacité énergétique,Gaz de schiste,Energies renouvelables
315,06877217926-31,ENEL,ENEL,Italie,Entreprise,Énergie,17499,1,0.5,,OPPOSE,SUPPORT,OPPOSE
316,67833029261-54,Gas Natural Fenosa,Gas Natural Fenosa,Espagne,Entreprise,Énergie,37499,4,2.5,,,SUPPORT,OPPOSE
317,56592866496-47,EDP - Energias de Portugal,EDP,Portugal,Entreprise,Énergie,149999,1,1.0,,,,
318,51375423794-46,Fennovoima Oy,Fennovoima,Finlande,Entreprise,Énergie,74999,1,0.25,SUPPORT,OPPOSE,,OPPOSE
319,,A2A,A2A,Italie,Entreprise,Énergie,NaN,NaN,NaN,,,,
320,66126847778-02,HSE d.o.o.,HSE,Slovénie,Entreprise,Énergie,74999,3,2.75,,,,
321,44688805318-45,"Red Eléctrica de España, SAU",REE,Espagne,Entreprise,Énergie,149999,3,2.0,,,,
322,,TAURON Polska Energia SA,Tauron,Pologne,Entreprise,Énergie,NaN,NaN,NaN,,,,
323,56039866688-26,National Grid,National Grid,Royaume-Uni,Entreprise,Énergie,349999,2,2.0,,,,
324,516404410590-13,ADGER ENERGY,AGDER ENERGI,Norvège,Entreprise,Énergie (principalement renouvelable),4999,1,0.5,,,,
325,96327066302-56,Statkraft,Statkraft,Norvège,Entreprise,Énergie (principalement renouvelable),0,6,6.0,,,,
326,,EDF Energy,EDF Energy,Royaume-Uni,Entreprise,Énergie,NaN,NaN,NaN,SUPPORT,,OPPOSE,OPPOSE
327,39966101835-69,EDF,EDF,France,Entreprise,Énergie,2124999,11,11.0,,,,
328,69240395197-02,Repsol,Repsol,Espagne,Entreprise,Énergie fossiles (sauf gaz),749999,8,3.0,,,,
329,963142911472-29,BKK,BKK,Norvège,Entreprise,Énergie (principalement renouvelable),4999,8,2.0,,,,
330,72760517350-57,E.ON,E.ON,Allemagne,Entreprise,Énergie,849999,18,6.75,,,,
332,429600710582-32,"CEZ, a.s",CEZ,République Tchèque,Entreprise,Énergie,149999,5,2.5,,,,
333,4447605981-76,STATOIL,Statoil,Norvège,Entreprise,Énergie fossiles (sauf gaz),2624500,12,7.5,,OPPOSE,SUPPORT,OPPOSE
334,401111262-07,EDISON,EDISON,Italie,Entreprise,Énergie,349999,3,2.0,,,,
335,109601212076-63,Paikallisvoima ry -The Finnish Local Power Association,Paikallisvoima,Finlande,Association professionnelle,Énergie,37499,2,0.5,,,,
336,09571422185-81,VERBUND AG,Verbund,Autriche,Entreprise,Énergie,349999,4,1.75,,,,
337,289810215426-07,TenneT,TenneT,Pays-Bas,Entreprise,Énergie,249999,4,2.75,,,,
338,29967294656-11,N.V. Nederlandse Gasunie,Gasunie,Pays-Bas,Entreprise,Énergie,249999,4,1.75,,,,
339,451019811573-55,ACCIONA,Acciona,Espagne,Entreprise,"Construction, immobilier, transports",149999,2,0.5,,,,
340,05032108616-26,SHELL,Shell,Pays-Bas,Entreprise,Énergie fossiles (sauf gaz),4624500,18,11.0,,OPPOSE,SUPPORT,OPPOSE
341,99578067285-35,ENI,ENI,Italie,Entreprise,Énergie fossiles (sauf gaz),549999,6,3.0,,,,OPPOSE
342,90947457424-20,GDF SUEZ,GDF SUEZ,France,Entreprise,Énergie,2124999,12,11.0,SUPPORT,,SUPPORT,
343,12955024114-93,Vattenfall AB,Vattenfall,Suède,Entreprise,Énergie,949999,5,3.5,,,,
344,292576015608-71,SHV Energy,SHV Energy,Pays-Bas,Entreprise,Énergie,749999,4,2.5,,,,
345,541969311624-32,Wien Energie GmbH,Wien Energy,Autriche,Entreprise,Énergie,74999,4,1.0,,,,
346,03501997362-71,FORTUM,Fortum Keilaniemi,Finlande,Entreprise,Énergie,588000,9,5.5,SUPPORT,OPPOSE,SUPPORT,OPPOSE
347,1849405799-88,TOTAL,Total,France,Entreprise,Énergie fossiles (sauf gaz),1874999,6,6.0,,,,OPPOSE
348,41126912590-71,AREVA,Areva,France,Entreprise,Énergie,649999,6,3.75,SUPPORT,,OPPOSE,OPPOSE
349,75729476306-17,Wintershall,Wintershall,Allemagne,Entreprise,Énergie fossiles (sauf gaz),549999,2,2.0,,,,
350,98019938020-21,Valero,Valero,États-Unis,Entreprise,Énergie fossiles (sauf gaz),17499,1,0.5,,,,
351,77608353460-77,RWE,RWE,Allemagne,Entreprise,Énergie,2000000,10,5.5,SUPPORT,OPPOSE,SUPPORT,OPPOSE
352,,Bord Gais,Bord Gáis Energy,Irlande,Entreprise,Énergie,NaN,NaN,NaN,,,,
353,3394026642-58,BP - British Petroleum,BP,Royaume-Uni,Entreprise,Énergie fossiles (sauf gaz),2874999,9,5.25,,OPPOSE,SUPPORT,OPPOSE
354,16020059773-15,Dii GmbH,Dii,Allemagne,Entreprise,Énergie (principalement renouvelable),225000,NaN,NaN,,,,
355,4016736872-59,GE - General Electric,GE,États-Unis,Entreprise,Énergie,5624500,17,8.75,,,SUPPORT,SUPPORT
356,241656822426-29,ESB - Electriciy Supply Board,ESB,Irlande,Entreprise,Énergie,74999,1,0.25,,,,
357,,SLZ Group,SLZ Group,Suisse,Entreprise,Finance,NaN,NaN,NaN,,,,
358,13324391892-74,EnBW,EnBW,Allemagne,Entreprise,Énergie,910000,6,3.25,,SUPPORT,,SUPPORT
359,530617716398-33,USG - Utility Support Group,USG,Pays-Bas,Entreprise,Énergie,349999,2,1.5,,,,
374,222186719128-03,The Lithuanian Free Market Institute LFMI,LFMI,Lituanie,Think tank et recherche,"Recherche scientifique, expertise",4999,5,1.25,,,,
